"age_group","sex","punkt","mean_4ch","conf.low_4ch","conf.high_4ch","mean_2ch","conf.low_2ch","conf.high_2ch","mean_3ch","conf.low_3ch","conf.high_3ch"
"60-64","Female",22,-18.9528029450471,-23.3443800350531,-14.5612258550412,-20.3152819600607,-24.8654882115971,-15.7650757085243,-19.7486095412308,-24.7784860715704,-14.7187330108912
"60-64","Female",23,-19.3159362394421,-23.719571093054,-14.9123013858302,-20.6591925874984,-25.2971461651779,-16.0212390098188,-20.18143439856,-25.2469855640999,-15.1158832330201
"60-64","Female",24,-19.4183410746481,-23.8613260233465,-14.9753561259496,-20.7191478241638,-25.483312377118,-15.9549832712095,-20.3036807301304,-25.3698764184718,-15.237485041789
"60-64","Female",25,-19.3225051983727,-23.8231714390901,-14.8218389576553,-20.5566215188557,-25.44307044903,-15.6701725886815,-20.1678807674157,-25.1590575461352,-15.1767039886962
"60-64","Female",26,-19.1144746089371,-23.6871654745158,-14.5417837433584,-20.2739487330492,-25.2378724366115,-15.3100250294869,-19.8709814383701,-24.750342492627,-14.9916203841133
"60-64","Female",27,-18.8407728849929,-23.5096607207733,-14.1718850492125,-19.9353727889061,-24.9475205015389,-14.9232250762733,-19.4906807410952,-24.3061123666227,-14.6752491155677
"60-64","Female",28,-18.4945228615524,-23.291187961166,-13.6978577619387,-19.5280815845925,-24.5996059808024,-14.4565571883827,-19.0339968293555,-23.8900891321318,-14.1779045265793
"60-64","Female",29,-18.0092973118688,-22.945893230393,-13.0727013933446,-18.9641698862198,-24.1217779578535,-13.8065618145861,-18.4470431188041,-23.4088123655419,-13.4852738720662
"60-64","Female",30,-17.291100617603,-22.3559875518696,-12.2262136833364,-18.1308948052434,-23.4207748301982,-12.8410147802887,-17.6433932745318,-22.6889798195114,-12.5978067295522
"60-64","Female",31,-16.277350330231,-21.2826591619513,-11.2720414985107,-17.0178260258115,-22.2669765752893,-11.7686754763337,-16.6177514789763,-21.5652552861365,-11.6702476718161
"60-64","Female",32,-14.9224726632584,-19.9412974664103,-9.90364786010659,-15.5898529505243,-20.7184193712721,-10.4612865297766,-15.2888507655431,-20.1576410126084,-10.4200605184777
"60-64","Female",33,-13.3472184252247,-18.4685718413535,-8.22586500909592,-13.9827012595318,-19.0024821299932,-8.96292038907042,-13.750073939176,-18.7328234881431,-8.76732439020894
"60-64","Female",34,-11.757649016804,-16.9011709711558,-6.61412706245221,-12.3999661553059,-17.3661420744413,-7.4337902361704,-12.1955168704644,-17.371865514429,-7.01916822649982
"60-64","Female",35,-10.3705400695537,-15.3857439689612,-5.35533617014615,-11.0220777388733,-15.8967227625234,-6.14743271522313,-10.7902692200687,-16.0119107451784,-5.56862769495894
"60-64","Female",36,-9.3133498760824,-14.0304706800276,-4.59622907213715,-9.92059223631461,-14.6117333851446,-5.2294510874846,-9.65308770946817,-14.7115033216471,-4.59467209728919
"60-64","Female",37,-8.58082947896504,-12.8767075230134,-4.28495143491671,-9.0916615362809,-13.552668098962,-4.63065497359979,-8.82698066673283,-13.5473445196504,-4.10661681381531
"60-64","Female",38,-8.10389706037453,-11.9595215328902,-4.24827258785881,-8.48624210288265,-12.6690519814405,-4.30343222432482,-8.26178479687141,-12.5884243075091,-3.93514528623372
"60-64","Female",39,-7.80436380779026,-11.294149379438,-4.31457823614256,-8.05869037138202,-11.9253686247492,-4.19201211801488,-7.88499924825843,-11.8596236141628,-3.91037488235404
"60-64","Female",40,-7.6106089719226,-10.8426447370545,-4.37857320679068,-7.76152298578652,-11.3136330127553,-4.20941295881778,-7.64405782315855,-11.3381590031441,-3.949956643173
"60-64","Female",41,-7.47636519516105,-10.5474030018596,-4.40532738846254,-7.55421617357928,-10.8248747891249,-4.28355755803363,-7.49101691837391,-10.9622261512726,-4.01980768547522
"60-64","Female",42,-7.37355871213483,-10.3570519035222,-4.39006552074748,-7.39653431845318,-10.4478787865739,-4.34518985033252,-7.39584859567041,-10.7044664075227,-4.08723078381808
"60-64","Female",43,-7.28958356807116,-10.2239475086606,-4.35521962748175,-7.26967552307366,-10.1694123236899,-4.36993872245738,-7.3229959564769,-10.5025396572922,-4.14345225566165
"60-64","Female",44,-7.21207470097378,-10.1270643249965,-4.2970850769511,-7.16442786465044,-9.98752072382679,-4.34133500547408,-7.24927201181773,-10.3432882769731,-4.15525574666239
"60-64","Female",45,-7.13382157659176,-10.0455130841479,-4.22213006903567,-7.07511766694757,-9.88889661186037,-4.26133872203476,-7.17148369857678,-10.2049357568832,-4.13803164027032
"60-64","Female",46,-7.04244777948315,-9.96088126440975,-4.12401429455654,-6.99470568736205,-9.86516983678359,-4.12424153794051,-7.08761386014981,-10.0891379712556,-4.08608974904404
"60-64","Female",47,-6.93915984542821,-9.87559613408852,-4.00272355676791,-6.91772251609238,-9.87288236195598,-3.96256267022879,-6.99591085287141,-10.0054708602794,-3.98635084546338
"60-64","Female",48,-6.82241536034831,-9.80754873353827,-3.83728198715836,-6.82932058869663,-9.89918247593441,-3.75945870145885,-6.89195041299625,-9.96039617308663,-3.82350465290588
"60-64","Female",49,-6.6855295728764,-9.77723914768613,-3.59381999806668,-6.71159435369476,-9.88110101168469,-3.54208769570483,-6.76989863989388,-9.93567730589155,-3.60411997389622
"60-64","Female",50,-6.5114849751623,-9.76051003617553,-3.26245991414907,-6.54197716426966,-9.81370473186747,-3.27024959667186,-6.61865297353308,-9.91983970508545,-3.31746624198072
"60-64","Female",51,-6.26776822527303,-9.70846325600846,-2.8270731945376,-6.28373792211236,-9.64612492522717,-2.92135091899755,-6.41993993856554,-9.84122474744331,-2.99865512968778
"60-64","Female",52,-5.92077222228165,-9.55536532719197,-2.28617911737132,-5.89570893233333,-9.38278232030684,-2.40863554435982,-6.1175216920824,-9.68248396840212,-2.55255941576268
"60-64","Female",53,-5.42281476770662,-9.2910182312833,-1.55461130412993,-5.34174010640137,-9.02436605473391,-1.65911415806884,-5.65853594520412,-9.42481487989954,-1.8922570105087
"60-64","Female",54,-4.73921843655431,-8.84714329199801,-0.631293581110604,-4.58039285672921,-8.48310609648618,-0.677679616972248,-4.99763510315281,-8.98472783325302,-1.0105423730526
"60-64","Female",55,-3.85045626385705,-8.08018755661719,0.379275028903088,-3.61736300361891,-7.58907053451255,0.354344527274721,-4.08375425612297,-8.1376273036755,-0.0298812085704423
